0,,,,Hi-Vol Data,,,LSC    (bgd 1.246 cpm),,,,,,,efficiency,,                     N0 / SCM Flow,,,,(2)bulk,,total flow SCM,SCF flow,IC-AG ,IC-AG,start date,2 x bulk,,fine+coarse,fine,coarse,  SO4 rev,bulk,bulk,bulk,  SO4 IC area,coarse,coarse,coarse,  SO4 IC area,fine,fine,fine,SO4 fine+coarse,
 ,UH78b S35 1/2,3/19-3/23/2020,03/19/20,40.0 SCFM,5477.7,6202.216,TJ144,4/11/20,12,3.268,2.022,2.887857143,0.639,524953.4445,23,629866.7374,102,1.472E-04,,203,S01p267,6202.216,219029.2,1,,03/19/20,203,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH80b S35 1/2,3/23-3/28/2020,03/23/20,40.0 SCFM,6999.3,7926.918,TJ144,4/12/20,12,5.811,4.565,6.520714286,0.390,1185332.673,20,1388823.676,175,7.028E-05,,350,S01p268,7926.918,279936.5,1,,03/23/20,350,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH82b S35 1/2,3/28-3/30/2020,03/28/20,40.0 SCFM,2872.6,3253.178,TJ143,4/3/20,12,5.577,4.331,6.186428571,0.295,1124566.357,6,1179307.726,363,1.295E-04,,725,S01p269,3253.178,114884.9,1,,03/28/20,725,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH84b S35 1/2,3/30-4/2/2020,03/30/20,40.0 SCFM,4385.6,4966.086,TJ145,4/13/20,12,4.553,3.307,4.723571429,0.339,858648.8075,14,959357.2687,193,9.752E-05,,386,S01p273,4966.086,175375.7,1,,03/30/20,386,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH86b S35 1/2,4/2-4/11/2020,04/02/20,40.0 SCFM,12685.5,14365.129,TJ145,4/14/20,12,8.434,7.188,10.26785714,0.323,1866486.709,12,2052622.171,143,3.212E-05,,286,S01p276,14365.129,507299.8,1,,04/02/20,286,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH88b S35 1/2,4/11-4/13/2020,04/11/20,40.0 SCFM,2778.0,3146.358,TJ146,4/15/20,12,2.416,1.170,1.670714286,0.324,303701.7331,4,313479.1362,100,1.471E-04,,199,S01p277,3146.358,111112.6,2,,04/11/20,199,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH90b S35 1/2,4/13-4/16/2020,04/13/20,40.0 SCFM,4324.4,4897.897,TJ148,4/24/20,12,4.002,2.756,3.936428571,0.144,715562.3133,11,780712.6751,159,4.200E-05,,319,S01p285,4897.897,172967.6, ,,04/13/20,319,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH92b S35 1/2,4/16-4/20/2020,04/16/20,40.0 SCFM,5664.3,6414.892,TJ148,4/23/20,12,5.319,4.073,5.817857143,0.324,1057567.6,7,1117868.032,174,7.215E-05,,349,S01p287,6414.892,226539.8, ,,04/16/20,349,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH92b S35 1/2,4/16-4/20/2020,04/16/20,40.0 SCFM,5664.3,6414.892,TJ159,5/18/20,12,4.128,2.882,4.116428571,0.236,748282.6369,32,964176.7124,150,5.256E-05,,301,S01p287,6414.892,226539.8,2,3rd run,04/16/20,301,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH94b S35 1/2,4/20-4/23/2020,04/20/20,40.0 SCFM,4386.2,4967.584,TJ161,7/1/20,12,3.756,2.510,3.585,0.200,651679.7769,72,1152760.074,232,5.752E-05,,464,S01p290,4967.584,175428.6,3,5/2018; AV,04/20/20,464,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH96b S35 1/2,4/23-4/27/2020,04/23/20,40.0 SCFM,5539.3,6273.282,TJ161,6/30/20,12,3.715,2.469,3.526428571,0.221,641032.6875,68,1098559.253,175,5.033E-05,,350,S01p293,6273.282,221538.9,2,7/2020; AU,04/23/20,350,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH98b S35 1/2,4/27-5/4/2020,04/27/20,40.0 SCFM,10452.2,11835.271,TJ166,7/17/20,12,4.168,2.922,4.173571429,0.254,758670.0412,81,1441188.215,122,3.066E-05,,244,S01p296,11835.271,417958.7,3,5/2018; AV,04/27/20,244,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH100b S35 1/2,5/4-5/17/2020,05/04/20,40.0 SCFM,19900.4,22536.954,TJ167,7/23/20,12,9.572,8.326,11.89357143,0.283,2162008.361,80,4074598.245,181,1.794E-05,,362,SF2p12,22536.954,795885.1,2,7/2020; BB,05/04/20,362,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH102b S35 1/2,5/18-5/27/2020,05/18/20,40.0 SCFM,12858.5,14561.467,TJ166,7/18/20,12,5.623,4.377,6.252142857,0.415,1136511.872,61,1842616.213,127,4.071E-05,,253,S01p296,14561.467,514233.4,3,5/2018; AV,05/18/20,253,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH103b S35 1/2,5/27-6/2/2020,05/27/20,40.0 SCFM,8594.3,9731.335,TJ168,7/31/20,12,4.167,2.921,4.172142857,0.296,758410.356,65,1269189.695,130,4.345E-05,,261,SF2p15,9731.335,343658.9,1,5/2018; BD,05/27/20,261,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH104b S35 1/2,6/2-6/17/2020,06/02/20,40.0 SCFM,20919.5,23684.344,TJ162,7/4/20,12,17.218,15.972,22.81642857,0.324,4147560.692,32,5344212.515,226,1.954E-05,,451,SF2p8,23684.344,836404.8,1,5/2018; AV,06/02/20,451,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH104b S35 1/2,6/2-6/17/2020,06/02/20,40.0 SCFM,20919.5,23684.344,TJ163,7/5/20,24,17.259,16.013,22.87500,0.521,4158207.782,33,5400543.884,228,3.143E-05,,456,SF2p8,23684.344,836404.8,1,5/2018; AV,06/02/20,456,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH105b S35 1/2,6/17-6/28/2020,06/17/20,40.0 SCFM,16523.3,18716.669,TJ162,7/2/20,12,9.588,8.342,11.91642857,0.370,2166163.323,15,2439474.823,130,2.824E-05,,261,SF2p4,18716.669,660973.0,1,5/2018; AX,06/17/20,261,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH106b S35 1/2,6/28-7/2/2020,06/28/20,40.0 SCFM,5574.0,6315.262,TJ164,7/8/20,12,5.483,4.237,6.052142857,0.281,1100155.957,10,1190851.705,189,6.356E-05,,377,SF2p5,6315.262,223021.4,1,7/2020; BA,06/28/20,377,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH107b S35 1/2,7/2-7/6/2020,07/02/20,40.0 SCFM,5436.8,6160.355,TJ164,7/9/20,12,5.824,4.578,6.539285714,0.288,1188708.579,7,1256486.413,204,6.679E-05,,408,SF2p9,6160.355,217550.9,1,7/2020; BB,07/02/20,408,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH108b S35 1/2,7/6-7/10/2020,07/06/20,40.0 SCFM,6117.1,6930.533,TJ165,7/16/20,12,6.922,5.676,8.107857143,0.286,1473842.827,10,1595344.943,230,5.895E-05,,460,SF2p10,6930.533,244749.5,2,5/2018; AV,07/06/20,460,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH109b S35 1/2,7/10-7/13/2020,07/10/20,40.0 SCFM,3787.6,6160.355,TJ165,7/23/20,12,4.097,2.851,4.072142857,0.168,740232.3985,13,820526.3756,133,3.896E-05,,266,SF2p11,6160.355,217550.9,3,5/2018; ,07/10/20,266,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH110b S35 1/2,7/13-7/17/2020,07/13/20,40.0 SCFM,5970.5,6764.254,TJ167,7/24/20,12,6.198,4.952,7.073571429,0.272,1285830.809,11,1402902.853,207,5.744E-05,,415,SF2p13,6764.254,238877.4,2,5/2018; AZ,07/13/20,415,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH111b S35 1/2,7/17-7/24/2020,07/17/20,40.0 SCFM,10286.1,11655.966,TJ168,7/30/20,12,7.626,6.380,9.113571429,0.379,1656661.142,13,1836361.345,158,4.645E-05,,315,SF2p14,11655.966,411626.6,1,5/2018; BC,07/17/20,315,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH112b S35 1/2,7/24-7/30/2020,07/24/20,40.0 SCFM,8101.5,9181.646,TJ169,8/1/20,12,6.872,5.626,8.036428571,0.197,1460858.571,8,1556434.739,170,3.065E-05,,339,SF2p21,9181.646,324246.8,2,5/2018; BD,07/24/20,339,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH112b S35 1/2,7/24-7/30/2020,07/24/20,40.0 SCFM,12273.3,13905.938,TJ170,8/20/20,12,5.377,4.131,5.900714286,0.391,1072629.336,27,1328430.77,96,4.017E-05,,191,SF2p26,13905.938,491083.6,2,5/2018; BF,07/24/20,191,recount after 7 days, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH113b S35 1/2,7/30-8/7/2020,07/30/20,40.0 SCFM,12273.3,13905.938,TJ171,8/31/20,12,7.118,5.872,8.387857143,0.236,1524741.108,32,1964658.534,141,2.424E-05,,283,SF2p26,13905.938,491083.6,2,5/2018; BF,07/30/20,283,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH114b S35 1/2,8/7-8/14/2020,08/07/20,40.0 SCFM,9931.0,11253.340,TJ171,9/1/20,12,9.263,8.017,11.45214286,0.366,2081765.663,25,2537700.768,226,4.646E-05,,451,SF2p27,11253.340,397408.0,2,5/2018; BG,08/07/20,451,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH115b S35 1/2,8/14-8/21/2020,08/14/20,40.0 SCFM,9960.2,11286.080,TJ171,9/1/20,12,6.563,5.317,7.595,0.308,1380615.873,18,1592205.181,141,3.899E-05,,282,SF2p28,11286.080,398564.2,1,5/2018; BH,08/14/20,282,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH116b S35 1/2,8/21-8/27/2020,08/21/20,40.0 SCFM,8402.0,9521.796,TJ171,9/2/20,12,4.328,3.082,4.402142857,0.300,800219.6583,12,880021.5956,92,4.501E-05,,185,SF2p29,9521.796,336259.1,2,5/2018; BE,08/21/20,185,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH117b S35 1/2,8/27-9/8/2020,08/27/20,40.0 SCFM,17187.8,19475.597,TJ172,9/12/20,12,20.703,19.457,27.795,0.539,5052563.291,16,5735314.627,294,3.954E-05,,589,SF2p30,19475.597,687774.3,1,5/2018; BI,08/27/20,589,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH117b S35 1/2,8/27-9/8/2020,08/27/20,40.0 SCFM,17187.8,19475.597,TJ173,9/14/20,12,20.765,19.518,27.883,0.453,5068559.894,18,5845353.136,300,3.323E-05,,600,SF2p30,19475.597,687774.3,1,5/2018; BI,08/27/20,600,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH118b S35 1/2,9/8-9/11/2020,09/08/20,40.0 SCFM,4246.2,4811.938,TJ174,9/18/20,12,4.910,3.664,5.233571429,0.384,951356.3908,10,1029785.252,214,1.140E-04,,428,SF2p32,4811.938,169932.0,1,5/2018; BK,09/08/20,428,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH117b S35 1/2,9/11-9/14/2020,09/11/20,40.0 SCFM,4365.2,4946.324,TJ174,9/19/20,12,5.191,3.945,5.635,0.362,1024327.906,8,1091344.206,221,1.046E-04,,441,SF2p33,4946.324,174677.8,1,5/2018; BL,09/11/20,441,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,UH117b S35 1/2,9/14-9/17/2020,09/14/20,40.0 SCFM,4181.1,4738.102,TJ174,9/19/20,12,5.353,4.107,5.866428571,0.242,1066396.893,5,1109482.829,234,7.296E-05,,468,SF2p34,4738.102,167324.5,1,5/2018; BM,09/14/20,468,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100/200/200 p209,stds run as samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7438,225.18,2.35,79.75,,,,,,,,,,
,50/100/100 p209,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4.2142,108.53,1.13,38.44,,,,,,,,,,
,25/50/50 p209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0842,53.67,0.56,19.01,,,,,,,,,,
,12.5/25/25 p209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0250,26.40,0.27,9.35,,,,,,,,,,
,5/10/2010 p209,,,,,,,, , , , , ,,,,,,,,,,,,,,,,,,,0.4245,10.93,0.11,3.87,,,,,,,,,,
,12.5/25/25 p208,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,1.0470,26.96,0.28,9.55,,,,,,,,,,
,100/200/200 p208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5524,220.25,2.29,78.01,,,,,,,,,,
,impur blank PH63aF,,02/24/20,40.0(±0.5) SCFM,4366.3,4968.119,TJ139,3/17/20,12,2.303,1.057,1.509285714,0.178,274357.3159,22,326590.9058,66,5.118E-05,,,SO1p243,4968.119,175447.5,4,7/2020; AJ,02/24/20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IV1 S35 1/2,8/9-8/12/2019,08/09/19,1.130 SCMM,4427.6,5002.032,TJ42,8/27/19,12,5.441,4.195,5.992142857,0.376,1089249.183,18,1256184.451,251,1.074E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IV2 S35 1/2,8/12-8/21-2019,08/12/19,1.130 SCMM,13253.2,10402.5,TJ42,8/28/19,12,7.627,6.381,9.115,0.300,1656920.828,16,1880820.033,181,4.120E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OC1,8/22-9/4/2019,08/22/19,1.130 SCMM,18600.0,21055.29,TJ48,9/9/19,12,16.363,15.117,21.595,0.610,3925529.925,18,4527145.607,215,4.139E-05,,430,S01p68,,,1,,08/22/19,430,,,,,,,,,,,,,,,,,,
,OC2 S35 1/2,9/4-9/14/2019,09/04/19,1.130 SCMM,14513.0,16400,TJ54,9/19/19,12,8.128,6.882,9.830714286,0.472,1787023.066,15,2012497.272,123,4.111E-05,,245,S01p76,,,2,,09/04/19,245,,,,,,,,,,,,,,,,,,
,OC3 S35 1/2,9/19-9/25/2019,09/19/19,1.130 SCMM,15886.6,17053,TJ64,10/9/19,12,9.117,7.871,11.24357143,0.370,2043851.637,20,2394728.173,140,3.100E-05,,281,S01p88,,,1,,09/19/19,281,,,,,,,,,,,,,,,,,,
,OC4 S35 1/2,9/25-10/3/2019,09/25/19,1.130 SCMM,11240.4,12703.242,TJ63,10/7/19,12,11.561,10.315,14.735,0.466,2678522.04,12,2945637.757,232,5.241E-05,,464,S01p89,,,1,,09/25/19,464,,,,,,,,,,,,,,,,,,
,OC5c S35 1/2,10/3-10/13/2019,10/03/19,1.130 SCMM,14446.0,16325,TJ69,10/24/19,12,18.478,17.232,24.61642857,0.608,4474763.927,21,5284663.36,324,5.320E-05,,647,S01p98,,,n/a,,10/03/19,647,,,,,,,,,,,,,,,,,,
,OC6c S35 1/2,10/13-10/20/2019,10/13/19,1.130 SCMM,10042.6,11348.961,TJ69,10/25/19,12,13.798,12.552,17.93071429,0.481,3259437.625,12,3584485.172,316,6.055E-05,,632,SO1p102,,,n/a,,10/13/19,632,,,,,,,,,,,,,,,,,,
,OC7c S35 1/2,10/20-10/26/2019,10/20/19,1.130 SCMM,8582.8,9699.337,TJ74,10/30/19,12,11.827,10.581,15.115,0.392,2747598.278,10,2974107.51,307,5.774E-05,,613,SO1p112,,,1,,10/20/19,613,,,,,,,,,,,,,,,,,,
,OC8c S35 1/2,10/26-11/2/2019,10/26/19,1.130 SCMM,10348.6,11694.874,TJ77,11/7/19,12,14.767,13.521,19.315,0.374,3511072.494,12,3861214.338,330,4.569E-05,,660,SO1p120,,,1,,10/26/19,660,,,,,,,,,,,,,,,,,,
,OC9c S35 1/2,11/2-11/9/2019,11/02/19,1.130 SCMM,10064.6,11374.28,TJ81,11/14/19,12,14.374,13.128,18.75357143,0.569,3409016.247,12,3748980.528,330,7.146E-05,,659,SO1p132,,,1,,11/02/19,659,,,,,,,,,,,,,,,,,,
,OC10c S35 1/2,11/9-11/13/2019,11/09/19,1.130 SCMM,5428.5,6135.137,TJ81,11/15/19,12,6.969,5.723,8.175,0.294,1486048.027,6,1558385.513,254,6.846E-05,,508,SO1p133,,,1,,11/09/19,508,,,,,,,,,,,,,,,,,,
,OC11c S35 1/2,11/13-11/17/2019,11/13/19,1.130 SCMM,5720.7,6532.661,TJ83,11/20/19,12,4.664,3.418,4.882142857,0.622,887473.8544,7,938075.8746,144,1.360E-04,,287,SO1p138,,,4,,11/13/19,287,,,,,,,,,,,,,,,,,,
,OC12c S35 1/2,11/17-11/21/2019,11/17/19,1.130 SCMM,5751.7,6500.29,TJ85,11/27/19,24,5.267,4.021,5.743571429,0.288,1044063.974,10,1130135.555,174,6.329E-05,,348,SO1p139,,,1,,11/17/19,348,,,,,,,,,,,,,,,,,,
,OC13c S35 1/2,11/21-11/25/2019,11/21/19,1.130 SCMM,5583.8,6309.28,TJ87,12/7/19,12,5.086,3.840,5.485,0.304,997060.9697,16,1131793.514,179,6.883E-05,,359,SO1p143,,,4,,11/21/19,359,,,,,,,,,,,,,,,,,,
,OC14c S35 1/2,11/25-11/29/2019,11/25/19,1.130 SCMM,6075.7,6865.632,TJ87,12/7/19,12,5.098,3.852,5.502142857,0.304,1000177.191,12,1099919.901,160,6.326E-05,,320,SO1p145,,,1,,11/25/19,320,,,,,,,,,,,,,,,,,,
,OC15c S35 1/2,11/29-12/3/2019,11/29/19,1.130 SCMM,5709.4,6452.118,TJ89,12/12/19,12,3.387,2.141,3.057857143,0.261,555855.9723,13,616150.3971,95,5.779E-05,,191,SO1p148,,,3,,11/29/19,191,,,,,,,,,,,,,,,,,,
,OC16c S35 1/2,12/3-12/6/2019,12/3/19,1.130 SCMM,4183.8,4727.912,TJ91,12/14/19,12,2.969,1.723,2.460714286,0.183,447307.5974,11,488033.9622,103,5.529E-05,,206,SO1p155,,,4,,12/03/19,206,,,,,,,,,,,,,,,,,,
,OC17c S35 1/2,12/6-12/10/2019,12/6/19,1.130 SCMM,5905.0,6673.087,TJ94,12/22/19,12,3.719,2.473,3.532142857,0.242,642071.4279,16,728834.3441,109,5.181E-05,,218,SO1p162,,,1,,12/06/19,218,,,,,,,,,,,,,4.2043,,,,,
,OC18c S35 1/2,12/10-12/13/2019,12/10/19,1.130 SCMM,4008.5,4529.823,TJ94,12/21/19,12,2.644,1.398,1.996428571,0.307,362909.9375,11,395952.0825,87,9.682E-05,,175,SO1p163,,,1,,12/10/19,175,,,,,,,,,,,,,1.2780,,,,,
,OC19c S35 1/2,12/13-12/17/2019,12/13/19,1.130 SCMM,5927.5,6698.457,TJ95,12/25/19,24,5.060,3.814,5.447857143,0.235,990309.1569,12,1089067.777,163,5.012E-05,,325,SO1p166,,,2,,12/13/19,325,,,,,,,,,,,,,4.5478,,,,,
,OC20c S35 1/2,12/17-12/20/2019,12/17/19,1.130 SCMM,4325.4,4888.153,TJ101,1/6/20,12,6.260,5.014,7.162142857,0.340,1301931.286,20,1525439.26,312,9.937E-05,,624,SO1p183,,,5,,12/17/19,624,,,,,,,,,,,,,1.7330,,,,,
,OC20c S35 1/2,12/17-12/20/2019,12/17/19,1.130 SCMM,4325.4,4888.153,TJ141,3/24/20,12,2.644,1.398,1.996428571,0.340,362909.9375,98,788773.7622,161,9.937E-05,,323,SO1p183,,,5,recount; -301 atom/m3,12/17/19,323,,,,,,,,,,,,,1.7330,,,,,
,OC21c S35 1/2,12/20-12/24/2019,12/20/19,1.130 SCMM,5519.5,6236.954,TJ101,1/7/20,12,6.312,5.066,7.236428571,0.157,1315434.911,18,1517034.768,243,3.596E-05,,486,SO1p184,,,5,,12/20/19,486,,,,,,,,,,,,,1.9952,,,,,
,OC22c S35 1/2,12/24-12/30/2019,12/24/19,1.130 SCMM,8895.8,10052.655,TJ100,1/5/20,12,5.682,4.436,6.336428571,0.584,1151833.294,12,1266699.915,126,8.299E-05,,252,SO1p185,,,4,,12/24/19,252,,,,,,,,,,,,,3.4020,,,,,
,OC23c S35 1/2,12/30-1/6/2020,12/30/19,1.130 SCMM,9970.8,11266.595,TJ105,1/11/20,12,9.429,8.183,11.68928571,0.394,2124873.391,12,2336776.475,207,4.996E-05,,415,SO1p192,,,4,,12/30/19,415,,,,,,,,,,,,, ,,,,,
,OC24c S35 1/2,1/6-1/13/2020,1/6/20,1.130 SCMM,9842.6,11122.066,TJ111,1/25/20,11,6.392,5.146,7.350714286,0.222,1336209.72,19,2336776.475,210,2.851E-05,,420,SO1p201,,,2,,01/06/20,420,,,,,,,,,,,,, ,,,,,
,OC25c S35 1/2,1/13-1/17/2020,1/13/20,1.130 SCMM,5991.3,6770.617,TJ110,1/23/20,12,5.735,4.489,6.412142857,0.330,1165596.604,10,1261687.213,186,6.963E-05,,373,SO1p204,,,1,,01/13/20,373,,,,,,,,,,,,, ,,,,,
,OC26c S35 1/2,1/17-1/22/2020,1/17/20,1.130 SCMM,6908.5,7806.464,TJ113,1/29/20,12,7.369,6.123,8.746428571,0.338,1589922.07,12,1748477.112,224,6.185E-05,,448,SO1p213,,,1,,01/17/20,448,,,,,,,,,,,,, ,,,,,
,OC27c S35 1/2,1/22-1/27/2020,1/22/20,1.130 SCMM,7421.2,8385.531,TJ115,2/2/20,12,5.563,4.317,6.166428571,0.376,1120930.766,11,1222989.026,146,6.406E-05,,292,SO1p214,,,2,,01/22/20,292,,,,,,,,,,,,, ,,,,,
,OC28c S35 1/2,1/27-1/30/2020,1/27/20,1.130 SCMM,4088.1,4619.530,TJ117,2/6/20,24,3.299,2.053,2.932142857,0.207,533003.6829,10,576943.9691,125,6.401E-05,,250,SO1p220,,,3,,01/27/20,250,,,,,,,,,,,,, ,,,,,
,OC29c S35 1/2,1/30-2/3/2020,1/30/20,1.130 SCMM,6074.9,6864.747,TJ121,2/12/20,12,5.632,4.386,6.265,0.411,1138849.038,13,1262381.484,184,8.553E-05,,368,SO1p221,,,4,,01/30/20,368,,,,,,,,,,,,, ,,,,,
,OC30c S35 1/2,2/3-2/6/2020,2/3/20,1.130 SCMM,3982.4,4500.197,TJ119,2/9/20,12,5.411,4.165,5.949285714,0.242,1081458.63,6,1134101.611,252,7.682E-05,,504,SO1p222,,,3,,02/03/20,504,,,,,,,,,,,,, ,,,,,
,OC31c S35 1/2,2/6-2/10/2020,2/6/20,1.130 SCMM,6065.8,6854.360,TJ123,2/14/20,12,6.566,5.320,7.599285714,0.207,1381394.929,8,1471772.215,215,4.314E-05,,429,SO1p230,,,2,,02/06/20,429,,,,,,,,,,,,, ,,,,,
,OC32c S35 1/2,2/10-2/13/2020,2/10/20,1.130 SCMM,3989.2,4507.861,TJ125,2/19/20,12,4.726,3.480,4.970714286,0.365,903574.3311,9,970346.7825,215,1.157E-04,,431,SO1p238,,,1,,02/10/20,431,,,,,,,,,,,,, ,,,,,
,OC33c S35 1/2,2/13-2/17/2020,2/13/20,1.130 SCMM,6116.8,6912.420,TJ125,2/20/20,12,7.787,6.541,9.343571429,0.443,1698470.445,7,1795313.901,260,9.155E-05,,519,SO1p239,,,1,,02/13/20,519,,,,,,,,,,,,, ,,,,,
,OC34c S35 1/2,2/17-2/24/2020,2/17/20,1.130 SCMM,10143.8,11463.082,TJ131,2/29/20,12,11.359,10.113,14.44642857,0.240,2626065.648,12,2887950.15,252,2.991E-05,,504,SO1p245,,,2,,02/17/20,504,,,,,,,,,,,,, ,,,,,
,OC35c S35 1/2,2/24-2/27/2020,2/24/20,1.130 SCMM,3867.7,4370.588,TJ134,3/6/20,12,5.229,3.983,5.689285714,0.393,1034195.94,11,1128357.187,258,1.285E-04,,516,SO1p252,,,1,,02/24/20,516,,,,,,,,,,,,, ,,,,,
,OC36c S35 1/2,2/27-3/2/2020,2/27/20,1.130 SCMM,6118.2,6913.749,TJ133,3/5/20,12,6.724,5.478,7.825,0.547,1422425.176,7,1503529.072,217,1.130E-04,,435,SO1p253,,,1,,02/27/20,435,,,,,,,,,,,,, ,,,,,
,OC37c S35 1/2,3/2-3/5/2020,3/2/20,1.130 SCMM,3947.6,4460.897,TJ137,3/13/20,12,4.146,2.900,4.142142857,0.127,752956.9688,11,821512.031,184,4.067E-05,,368,SO1p258,,,2,,03/02/20,368,,,,,,,,,,,,, ,,,,,
,OC38c S35 1/2,3/5-3/9/2020,3/5/20,1.130 SCMM,9748.9,11016.065,TJ137,3/14/20,12,3.201,1.955,2.792142857,0.182,507554.5423,9,545061.8728,49,2.360E-05,,99,SO1p259,,,2,,03/05/20,99,,,,,,,,,,,,, ,,,,,
,OC39c S35 1/2,3/9-3/12/2020,3/9/20,1.130 SCMM, ,4795.863,TJ140,3/19/20,12,2.826,1.580,2.256428571,0.247,410172.6271,10,443986.8449,93,7.358E-05,,185,SO1p261,,,1,,03/09/20,185,,,,,,,,,,,,, ,,,,,
